"id","name","cm","phone","address","postal_code","city","longitude","latitude"
"59","Vitré","3368","02-23-55-11-20","32 AVENUE D HELMSTEDT","35500","VITRE","-1.208186","48.111066"
"60","Bapeaume les Rouen","3029","02-35-74-27-69","9021 RUE DU CANAL CENTRE CIAL LECLERC","76380","CANTELEU",NULL,NULL
"61","Caen VL","3053","02-31-73-43-18","2, RUE DU CHEMIN VERT ANGLE BOULEVARD DUNOIS","14000","CAEN",NULL,NULL
"62","Carquefou VL","3059","02-51-85-29-10","36, RUE DE GRANDE-BRETAGNE Z.I","44470","CARQUEFOU",NULL,NULL
"63","Cesson VL","3065","02-99-53-77-77","RUE DES CHARMILLES Z.I. SUD EST CHANTEPIE","35510","CESSON SEVIGNE",NULL,NULL
"64","Evreux VL","3148","02-32-33-91-08","54, AVENUE FOCH","27000","EVREUX","1.132163","49.023749"
"65","Lanester VL","3179","02-97-76-12-03","68, AVENUE AMBROISE CROIZAT","56600","LANESTER","-3.347122","47.773598"
"66","Le Havre VL","3184","02-35-26-50-68","203 BOULEVARD DE GRAVILLE","76600","LE HAVRE","0.148466","49.492157"
"67","Mondeville + rev","3228","02-31-83-92-90","ZI CHARLES DE COULOMB","14120","MONDEVILLE","-0.310691","49.163341"
"68","Nantes Orvault VL","3247","02-51-77-82-30","262, ROUTE DE VANNES","44700","ORVAULT","-1.60839","47.248209"
"69","Rennes Mail VL","3284","02-99-59-35-29","70, AV. DU MAIL F. MITTERAND","35000","RENNES","-1.694027","48.108771"
"70","Rennes Rte de Lorient VL","3286","02-99-14-67-00","67 RUE DU MANOIR DE SERVIGNE ROUTE DE LORIEN","35132","VEZIN LE COQUET","-1.735576","48.103916"
"71","Rouen Av. de Caen","3295","02-35-62-00-24","55 AVENUE DE CAEN BP 1223","76177","ROUEN",NULL,NULL
"72","Saint Herblain VL","3310","02-40-92-00-05","BOULEVARD SALVADOR ALLENDE ATLANTIS","44800","ST HERBLAIN","-1.62353","47.219055"
"73","Saint Marcel","3315","02-32-21-68-04","11, RUE DE LA GARENNE Z.I.","27200","ST MARCEL",NULL,NULL
"74","Albertville","3006","04-79-10-02-20","RUE LOUIS ARMAND","73200","ALBERTVILLE","6.370666","45.659008"
"75","Annecy","3016","04-50-45-99-70","6, RUE DE LA CEZIERE Z.I. DE VOVRAY","74600","ANNECY SEYNOD",NULL,NULL
"76","Aurillac","3024","04-71-63-90-04","96 AVENUE CONTHE","15000","AURILLAC","2.424743","44.912637"
"77","Aurillac Lacoste VI","3433","04-71-48-14-11","ZI de Baradel 4 Rue Gabriel Lacoste","15100","AURILLAC",NULL,NULL
"78","Bourg-Péronnas","3047","04-74-21-20-99","738, AVENUE DE LYON","01960","PERONNAS","5.207907","46.185991"
"79","Bourges VI","3044","02-48-48-19-50","ZAC DE VARENNE RUE NICEPHORE NIEPCE","18000","BOURGES","2.345791","47.044516"
"80","Chambéry Saint Alban","3069","04-79-33-20-09","672, AVENUE DE CHAMBERY","73230","ST ALBAN","5.957317","45.572252"
"81","Base av. La Motte Servolex","3399","04-79-33-20-09","1327 avenue de la Houille Blanche","73000","LA MOTTE SERVOLEX","5.890176","45.587754"
"82","Clermont Lumière VI","3079","04-73-14-60-10","14 RUE DES FRERES LUMIERE Z.I. DU BREZET","63100","CLERMONT FERRAND","3.128418","45.785352"
"83","Ferney Voltaire","3149","04-50-40-58-02","19,  RUE DE LA POTERIE","01210","FERNEY VOLTAIRE","6.118982","46.253581"
"84","Mauriac","3435","04-71-68-09-81","Rue du 19 Mars 1962","15200","MAURIAC","2.338099","45.213609"
"85","Maurs","3430","04-71-49-75-40","ZA Route de Bagnac","15600","MAURS","2.195898","44.70836"
"86","Montluçon","3236","04-70-08-43-30","1, RUE DE BLANZAT","03100","MONTLUCON","2.599141","46.348756"
"87","Moulins Avermes VI","3241","04-70-46-90-81","PARC D ACTIVITE LOGISTIQUE SUD ZAC DES GRIS","03400","TOULON SUR ALLIER",NULL,NULL
"88","Base av. Vichy-Creuzier le vieux","3397","04-70-46-90-81","Rue des Vignolles Creuzer  le Vieux","03000","CUSSET","3.309824","46.529033"
"89","Nevers","3252","03-86-93-09-40","3, RUE DU PETIT MOUESSE","58000","NEVERS","3.170713","46.989107"
"90","Roanne","3288","04-77-70-04-44","47, BLD CHARLES DE GAULLE Z.I.","42120","LE COTEAU","4.097087","46.011451"
"91","Saint Egrève VI","3303","04-38-02-19-50","54, RUE DU PONT NOIR","38120","ST EGREVE","5.674284","45.223924"
"92","Saint Etienne Neyret","3307","04-77-49-08-77","22, RUE JEAN NEYRET","42000","ST ETIENNE","4.401136","45.456878"
"93","Saint Flour","3432","04-71-60-13-11","Zone d'activite de Volzac","15100","SAINT FLOUR","3.062426","45.027291"
"94","Saint Pierre en Faucigny","3320","04-50-25-07-08","30 RUE CHAMPS PLANS LIEU DIT LES JOURDIES","74800","SAINT PIERRE EN FAUC","6.3779","46.07453"
"95","Thiers","3339","04-73-80-15-97","AVENUE LEO LAGRANGE Z.I. LES MOLLES","63300","THIERS","3.528987","45.847321"
"96","Villefranche sur Saône","3362","04-74-09-43-90","AVENUE EDOUARD HERRIOT Z.I.","69400","VILLEFRANCHE  S/SAON","4.724343","45.978518"
"97","Yssingeaux","3372","04-71-59-18-13","ZA LA GUIDE LIEU-DIT LE FROMENTAL","43200","YSSINGEAUX",NULL,NULL
"98","Bourges VL","3045","02-48-27-51-60","ROUTE DE LA CHARITE Z.I.","18390","ST-GERMAIN DU PUY",NULL,NULL
"99","Clermont Aubière VL","3076","04-73-26-03-04","49, AVENUE LAVOISIER ZAC DES VARENNES","63170","AUBIERE",NULL,NULL
"100","Clermont Clementel VL","3077","04-73-16-12-20","238, BLD ETIENNE CLEMENTEL","63100","CLERMONT FERRAND","3.109623","45.815852"
"101","Clermont Kepler VL","3078","04-73-14-55-40","2 RUE KEPLER","63000","CLERMONT FERRAND","3.071758","45.780152"
"102","Clermont Rosier VL","3080","04-63-30-10-30","53  BD JEAN BAPTISTE DUMAS","63100","CLERMONT FERRAND",NULL,NULL
"103","Echirolles VL","3142","04-76-09-11-95","71, COURS JEAN JAURES LA QUINZAINE","38130","ECHIROLLES","5.70663","45.150338"
"104","Fontaine VL","3153","04-76-26-32-45","39, BOULEVARD PAUL LANGEVIN","38600","FONTAINE","5.682406","45.189505"
"105","Moulins Sud VL","3242","04-70-46-31-42","103, ROUTE DE LYON","03000","MOULINS","3.339559","46.548761"
"106","Moutiers","3243","04-79-24-21-95","CTRE COMM. ZAC DE LA CHAUDANNE AVENUE DES JEUX OLYMPIQUES","73600","MOUTIERS","6.530501","45.487687"
"107","Saint Egrève VL","3304","04-76-75-86-69","AVENUE DE L ILE BRUNE Z.I.","38120","ST EGREVE",NULL,NULL
"108","Voiron","3371","04-76-05-06-39","6, RUE DE L INDUSTRIE","38500","VOIRON","5.594534","45.359557"
"109","Alencon","3008","02-33-81-28-50","26, RUE LAZARE CARNOT Z.I. NORD","61000","ALENCON","0.092101","48.446675"
"110","Angoulême VI","3013","05-45-22-97-00","37, BOULEVARD BESSON BEY PORT L HOUMEAU","16000","ANGOULEME","0.159981","45.656703"
"111","Barbezieux-Saint-Hilaire","3401","05-45-78-03-58","Les Combes","16300","BARBEZIEUX SAINT HIL","-0.161608","45.465248"
"112","Blois","3040","02-54-78-18-74","AVENUE DE CHATEAUDUN","41000","BLOIS","1.328437","47.603601"
"113","Brive VI","3050","05-55-88-96-29","IMPASSE DE LA SARRETIE","19100","BRIVE","1.488046","45.14675"
"114","Chambray les Tours","3070","02-47-71-40-20","14, RUE JEAN PERRIN Z.I. NO.1","37170","CHAMBRAY LES TOURS","0.7432962028817276","47.37551774259076"
"115","Chateaubernard","3403","05-45-82-24-66","15 avenue de Barbezieux","16100","CHATEAUBERNARD","-0.328309","45.681146"
"116","Gien","3158","02-38-67-42-08","RUE JULES CESAR","45500","GIEN","2.615379","47.700176"
"117","Jonzac","3402","05-46-48-35-05","30 avenue du 19 Mars 1962","17500","JONZAC","-0.449283","45.436394"
"118","Base av. Orignolles","3404"," ","Chez Mr Mesnard Transport Rousselot","17210","ORIGNOLLES","-0.245212","45.232103"
"119","La Ferté Bernard","3170","02-43-60-16-30","Z.A. LA PETITE CIBOLE LA CHAPELLE DU BOIS","72400","LA FERTE BERNARD","0.619558","48.199405"
"120","Le Blanc","3183","02-54-37-00-39","72 BIS, RUE DE LA REPUBLIQUE","36300","LE BLANC","1.071066","46.630741"
"121","Le Mans ZI","3185","02-43-52-12-80","RUE DES FRERES VOISIN Z.I. NORD","72000","LE MANS","0.175924","48.033258"
"122","Les Herbiers","3189","02-51-91-19-08","11 RUE EDOUARD BRANLY ZONE ARTISANALE LA BUZENIERE","85500","LES HERBIERS","-1.030422","46.862154"
"123","Base av. Boissières des Landes","3277","02-51-91-19-08","11 RUE EDOUARD BRANLY","85500","LES HERBIERS","-1.030422","46.862154"
"124","Les Ponts de Cé","3190","02-41-95-70-60","AVENUE DU MOULIN MARCILLE","49130","LES PONTS DE CE","-0.506074","47.437581"
"125","Base av. La Pommeraye","3396","02-41-18-12-93","8 avenue du 11 Novembre","49620","LA POMMERAYE","-0.857582","47.352764"
"126","Limoges","3198","05-55-36-19-27","51 RUE CLAUDE. HENRI GORCEIX","87280","LIMOGES","1.289344","45.888017"
"127","Limoges Comte","3197","05-55-38-10-71","5 A 9, RUE AUGUSTE COMTE Z.I. NORD","87000","LIMOGES",NULL,NULL
"128","Loudun","3201","05-49-98-19-39","6 AVENUE OUAGADOUGOU ZI NORD","86200","LOUDUN",NULL,NULL
"129","Montargis VI","3230","02-38-07-15-70","26 RUE DE  LA BARAUDIERE Z.A.","45700","VILLEMANDEUR","2.721923","47.973077"
"130","Perigny","3262","05-46-55-44-60","RUE MARIOTTE ZI PERIGNY","17180","PERIGNY","-1.096779","46.164274"
