"id","name","cm","phone","address","postal_code","city","longitude","latitude"
"210","Auch","3022","05-62-60-23-85","23 RUE FEDERICO GARCIA LORCA ZI DE L HIPPODROME","32000","AUCH","0.599251","43.672517"
"211","Bayonne Sainte Croix","3031","05-59-50-89-00","ROUTE DE CASTERA QUARTIER STE CROIX","64100","BAYONNE","-1.459941","43.489797"
"212","Beziers","3037","04-67-35-86-00","AVENUE DE LA DEVEZE Z.I. DU CAPISCOLE","34500","BEZIERS",NULL,NULL
"213","Carcassonne","3057","04-68-11-47-60","Z.I. DE LA BOURIETTE","11000","CARCASSONNE",NULL,NULL
"214","Castelnaudary","3060","04-68-23-11-44","98, AV. MONSEIGNEUR DELANGLE RTE DE CARCASSONNE","11400","CASTELNAUDARY",NULL,NULL
"215","Castets","3061","05-58-55-03-28","Z.I DES JUSTON 400 RUE MOUSQUETAIRES","40260","CASTETS","-1.140837","43.872159"
"216","Condom","3087","05-62-28-01-91","7, AVENUE DE L ARMAGNAC","32100","CONDOM","0.36279","43.954153"
"217","Foix Barcelone","3152","05-61-65-01-41","16 AVENUE DE BARCELONE","09000","FOIX","1.615767","42.960171"
"218","Hagetmau","3162","05-58-79-38-25","ROUTE D ORTHEZ MON PLAISIR","40700","HAGETMAU","-0.635921","43.613781"
"219","Lavelanet","3182","05-61-01-03-58","94 RUE GENERAL DE GAULLE","09300","LAVELANET","1.863378","42.925808"
"220","Millau","3227","05-65-60-05-56","6136 AVENUE DE L EUROPE","12100","MILLAU","3.056912","44.08805"
"221","Montpellier VI","3239","04-99-52-81-00","4800 RUE DE LA JEUNE PARQUE","34070","MONTPELLIER","3.867735","43.582461"
"222","Narbonne VI","3248","04-68-42-59-80","5, RUE MARIUS BERLIET Z.I. CROIX SUD","11100","NARBONNE","2.985914","43.158812"
"223","Nîmes","3256","04-66-01-72-96","1 COURS DE DION BOUTON CENTRE ROUTIER KILOMETRE DELTA","30900","NIMES","4.337567","43.813281"
"224","Oloron Sainte Marie","3258","05-59-36-11-21","AVENUE ALEXANDRE FLEMMING","64400","OLORON STE MARIE","-0.617804","43.197101"
"225","Onet le château","3259","05-65-67-07-43","POLE COMMERCIAL COMTAL OUEST","12850","ONET LE CHATEAU",NULL,NULL
"226","Pamiers","3260","05-34-01-37-10","43, AVENUE DE LA RIJOLE Z.I.","09100","PAMIERS",NULL,NULL
"227","Perpignan Saint Charles VI","3264","04-68-68-38-80","RUE DE MUNICH Z.I. ST CHARLES","66000","PERPIGNAN",NULL,NULL
"228","Rodez VI","3289","05-65-78-74-71","ROUTE D ESPALION PARC ST MARC","12850","RODEZ LES 4 SAISONS","2.590557","44.373745"
"229","Saint Lizier","3312","05-34-14-34-90","CHANTEREINE","09190","ST LIZIER","1.104585","43.00899"
"230","Saint Palais","3319","05-59-38-63-97","BEAHASQUE LAPISTE LOT RECART","64120","ST PALAIS","-1.003979","43.321756"
"231","Serre Castet","3331","05-59-12-40-30","RUE DE LA VALLEE D OSSAU","64121","SERRES CASTET","-0.381007","43.367958"
"232","Tarbes","3337","05-62-56-32-50","15 rue Juillan ZI BASTILLAC SUD","65000","TARBES","0.042571","43.220751"
"233","Bayonne Marines VL","3030","05-59-59-18-26","35, ALLEE MARINES","64100","BAYONNE","-1.485861","43.497634"
"234","Dax Aspremont","3098","05-58-90-17-97","4 RUE ASPREMONT","40100","DAX","-1.039889","43.703749"
"235","Foix","3151","05-34-09-34-80","33, AVENUE DU MARECHAL LECLERC","09000","FOIX","1.60784","42.972555"
"236","Ibos","3165","05-62-34-48-49","RN 117 ROUTE DE PAU","65420","IBOS","-0.000467","43.242405"
"237","Montpellier VL","3240","04-67-92-05-93","AVENUE DU MAS D ARGELLIERS","34000","MONTPELLIER","3.909938","43.598955"
"238","Narbonne VL","3249","04-68-42-54-90","RUE DU REC DE VEYRET","11100","NARBONNE","2.988063","43.173701"
"239","Perpignan Dalbiez VL","3263","04-68-54-57-78","33, AVENUE VICTOR DALBIEZ","66000","PERPIGNAN","2.887735","42.692513"
"240","Perpignan VL","3265","04-68-54-30-11","Z.I. ST CHARLES AVENUE DE SAINT CHARLES","66000","PERPIGNAN","2.906229","42.695644"
"241","Rodez VL","3290","05-65-67-16-11","PARC SAINT-MARC ROUTE D ESPALION","12850","RODEZ LES 4 SAISONS","2.590557","44.373745"
"242","Aix les Milles VI","3004","04-42-24-46-56","128, AVENUE BESSEMER Z.I. LES MILLES","13090","AIX LES MILLES",NULL,NULL
"243","Arles","3019","04-90-49-61-80","ROUTE DES SAINTES MARIES R.D. 570","13200","ARLES","4.734208","43.571558"
"244","Bagnols","3028","04-66-89-54-19","ROND POINT DE L EUROPE","30200","BAGNOLS SUR CEZE","4.619301","44.167039"
"245","Bourgoin Maladiere","3046","04-74-19-00-90","4 RUE ISAAC ASIMOV Z.I. DE LA MALADIERE","38300","BOURGOIN","5.248651","45.589875"
"246","Corbas VI","3089","04-37-25-33-01","52, RUE LOUIS PRADEL Z.I.","69960","CORBAS",NULL,NULL
"247","Flassans VI","3150","04-83-72-82-00","4 CHEMIN RN7","83340","FLASSANS sur ISSOLE","6.312138","43.398244"
"248","Fréjus","3155","04-94-52-77-40","161 RUE GEORGE BESSE Z.I. LA PALUD","83600","FREJUS",NULL,NULL
"249","La Garde","3171","04-94-08-01-48","13 IMPASSE EDOUARD BRANLY ZI TOULON EST BP 503","83130","TOULON LA GARDE","6.03946","43.146843"
"250","Le Pontet","3187","04-90-31-29-60","RUE DE LA VERDETTE LOTISS. D ACTIVITE LA GAULOISE","84130","LE PONTET",NULL,NULL
"251","Manosque VI","3394","04-92-71-70-50","ZI Saint Maurice Quartier Le Fito","04100","MANOSQUE","5.81322","43.795676"
"252","Martigues","3218","04-42-40-70-10","PUITS DE POUANE R.N. 568","13500","MARTIGUES",NULL,NULL
"253","Montélimar VI","3233","04-75-92-05-50","ZI DU MEYROL","26200","MONTELIMAR","4.74914","44.583011"
"254","Base av. Nice Est","3253"," ","10 ET 12 ROUTE DE LAGHET","06340","LA TRINITE","7.322446","43.744381"
"255","Nice Rte de Grenoble VI","3255","04-92-29-52-60","492, ROUTE DE GRENOBLE","06200","NICE","7.225595","43.699992"
"256","Salaise VI","3325","04-74-29-42-62","318 RUE DES BALMES","38150","SALAISE S SANNE","4.800927","45.336214"
"257","Valence VI","3351","04-75-57-67-40","RUE LOUIS SAILLANT ZI DE LA MOTTE","26800","PORTES LES VALENCE","4.9015104796209235","44.92272885091527"
"258","Vitrolles","3369","04-42-77-46-21","AVENUE DE BRUXELLES N 2 Z.I. DES ESTROUBLANS","13127","VITROLLES",NULL,NULL
"259","Corbas VL","3090","04-78-20-98-56","52, RUE LOUIS PRADEL Z.I.","69960","CORBAS",NULL,NULL
"260","Dardilly","3097","04-78-35-58-50","CHEMIN DES GORGES ZI LE PAISY","69570","DARDILLY",NULL,NULL
"261","Lyon Berthelot VL","3205","04-78-72-41-76","190, AVENUE BERTHELOT","69007","LYON","4.854058","45.741211"
"262","Lyon Gerland VL","3206","04-78-72-73-87","153 RUE MARCEL MERIEUX","69007","LYON GERLAND","4.829812","45.737584"
"263","Lyon Vaise VL","3208","04-78-83-77-76","48, RUE DE BOURGOGNE","69009","LYON","4.802693","45.778464"
"264","Meyzieu","3226","04-78-04-30-29","CENTRE COMMERCIAL LECLERC","69330","MEYZIEU","5.002226","45.775945"
"265","Montélimar VL","3234","04-75-92-02-60","112,  AVENUE JEAN JAURES","26200","MONTELIMAR","4.746822","44.546696"
"266","Salaise VL","3326","04-74-11-12-90","ZA CHAMPS ROLLAND 219 RUE D ALAMBERT","38150","SALAISE S SANNE","4.802618","45.340846"
"267","Valence VL","3352","04-75-44-13-40","AVENUE DE PROVENCE PONT DES ANGLAIS","26000","VALENCE","4.873933","44.906006"
"268","Venissieux VL","3357","04-72-90-13-90","69, RUE ANDRE SENTUC ZAC DE L ARSENAL","69200","VENISSIEUX",NULL,NULL
"269","Aix les Milles VL","3005","04-42-97-58-10","128 AVENUE DE BESSEMER ZI LES MILLES","13290","AIX EN PROVENCE",NULL,NULL
"270","Antibes","3017","04-92-91-84-50","754, ROUTE DE GRASSE","06600","ANTIBES","7.098576","43.594118"
"271","Aubagne","3021","04-42-18-60-90","708 RN 8 ZI LES PALUDS","13400","AUBAGNE","5.599243","43.287936"
"272","Cannes","3056","04-93-48-72-00","240, AVENUE FRANCIS TONER","06150","CANNES","6.970216","43.54982"
"273","Draguignan","3103","04-94-50-45-70","QUARTIER ST LEGER R.N. 555","83300","DRAGUIGNAN",NULL,NULL
"274","Manosque VL","3210","04-92-87-72-00","ROUTE DE LA DURANCE QUARTIER DU PRECHE","04100","MANOSQUE",NULL,NULL
"275","Marseille Arnavaux VL","3214","04-91-10-19-60","15, BOULEVARD GAY LUSSAC Z.I. LES ARNAVAUX","13014","MARSEILLE","5.37443","43.332946"
"276","Marseille Sainte Marguerite VL","3215","04-91-79-79-86","61 BD SAINTE MARGUERITE","13009","MARSEILLE","5.404666","43.268568"
"277","Marseille Timone VL","3216","04-91-78-10-13","37,  RUE DU CAPITAINE GALINAT","13010","MARSEILLE","5.39894","43.286568"
"278","Nice Montel VL","3254","04-97-25-76-60","17, BOULEVARD PAUL MONTEL","06200","NICE","7.20957","43.671899"
"279","Saint Victoret","3322","04-42-89-07-88","BOULEVARD ROBERT FERRISSE","13730","ST VICTORET","5.244077","43.418978"
"280","Salon de Provence","3327","04-90-53-15-75","BOULEVARD DU ROI RENE","13300","SALON DE PROVENCE","5.097907","43.632925"
"281","Six Fours VL","3333","04-94-10-96-80","AVENUE DE L EUROPE ZA DES PLAYES","83140","SIX FOURS LES PLAGES",NULL,NULL
"282","CGO VI Dijon","3408","06-74-68-63-32","Parc Tertiaire Mirande batiment I 14 rue Pierre de Coubertin","21000"," DIJON",NULL,NULL
"283","CGO VL Dijon","3420","06-74-68-63-32","Parc Tertiaire Mirande batiment I 14 rue Pierre de Coubertin","21000"," DIJON",NULL,NULL
"284","CGO VL Rennes Cesson","3412","06-31-84-59-80","Centre ERM Cesson Rue des Charmilles Chantepie","35510"," Cesson Sévigné","-1.6237943373281847","48.101066226006175"
"285","CGO VI Rennes Cesson","3406","06-47-25-01-52","Centre ERM Cesson Rue des Charmilles Chantepie","35510"," Cesson Sévigné","-1.6237943373281847","48.101066226006175"
"286","CGO VI St Egrève","3411","06-88-41-46-52","Siège ERM 180 Avenue de l'Europe","38330"," Montbonnot",NULL,NULL
"287","CGO VL St Egrève","3416","06-88-41-46-52","Siège ERM 180 Avenue de l'Europe","38330"," Montbonnot",NULL,NULL
"288","CGO VI Clermont Lumière","3425","06-85-07-83-47","Centre ERM Lumière ZI Le Brézet ","63100",NULL,NULL
"289","CGO VL Clermont Lumière","3414","06-85-07-83-47","Centre ERM Lumière ZI Le Brézet ","63100",NULL,NULL
"290","CGO VL Chambray les Tours","3419","06-08-87-94-15","Centre ERM Chambray 14 Rue Jean Perrin","37170"," Chambray-lès-Tours","0.72838","47.345513"
"291","CGO VL Limoges Gorceix","3427","06-08-87-94-16","Centre ERM Limoges 51 RUE CLAUDE. HENRI GORCEIX ","87280"," LIMOGES","1.289344","45.888017"
"292","CGO VI Limoges","3429","06.42.14.08.28","Centre ERM Limoges 51 RUE CLAUDE. HENRI GORCEIX ","87280"," LIMOGES","1.289344","45.888017"
"293","CGO VI Chambray les tours","3407","06-88-12-67-85","Centre ERM Chambray 14 Rue Jean Perrin","37170"," Chambray-lès-Tours","0.72838","47.345513"
"294","CGO VI Reims","3413","06-07-25-33-87","Centre ERM Reims 24 Bd du Val de Vesle","51100",NULL,NULL
"295","CGO VL Lesquin","3421","06-52-24-75-99","Centre ERM Lesquin Rue de la croix Bougard Crt ","59810","Lesquin","3.114203","50.582089"
"296","CGO VI  Antony","3410","06-70-88-91-07","Centre ERM Antony 12 14 avenue Sommer ","92160",NULL,NULL
"297","CGO VL Antony","3418","06-70-88-91-07","Centre ERM Antony 12 14 avenue Sommer ","92160",NULL,NULL
"298","CGO VI Serres Castet","3424","06-75-07-64-04","Centre ERM Serre Castets RUE DE LA VALLEE D OSSAU ","64121","SERRES CASTET","-0.381007","43.367958"
"299","CGO VL Montpellier","3422","06-85-03-81-06","Centre VL Montpellier avenue du Mas d'Argelier ","34000","Montpellier","3.932071","43.622953"
"300","CGO VL Lyon/Venissieux","3409","06-75-65-56-05","Centre ERM Vénissieux 63/65 rue André Sentuc","69200","Venissieux","4.875383","45.707585"
"301","Siège Euromaster","3075","A RENSEIGNER","180 avenue de l'Europe","38330","Montbonnot St Martin","5.806187","45.213479"
